timestamp,IMU_B-ch1,IMU_B-ch2,IMU_B-ch3,IMU_B-ch4,IMU_B-ch5,IMU_B-ch6
45862,-2.562451172,-5.337841797,-7.972070313,0.945121951,0.701219512,-1.768292683
45863,-2.543310547,-5.333056641,-7.945751953,1.25,0.670731707,-1.615853659
45864,-2.555273438,-5.318701172,-7.943359375,1.280487805,0.548780488,-1.37195122
45865,-2.576806641,-5.333056641,-7.9625,1.128048781,0.457317073,-1.25
45866,-2.583984375,-5.333056641,-7.967285156,1.006097561,0.457317073,-1.402439024
45867,-2.557666016,-5.297167969,-7.921826172,0.731707317,0.518292683,-1.676829268
45868,-2.595947266,-5.368945313,-7.933789063,0.243902439,0.518292683,-1.646341463
45869,-2.533740234,-5.395263672,-8.005566406,0.426829268,0.12195122,-1.646341463
45870,-2.557666016,-5.349804688,-7.979248047,0.884146342,0.853658537,-1.524390244
45871,-2.579199219,-5.239746094,-7.919433594,0.853658537,0.914634146,-1.341463415
45872,-2.500244141,-5.328271484,-7.976855469,-0.030487805,0.487804878,-1.158536585
45873,-2.588769531,-5.400048828,-8.022314453,-0.12195122,1.31097561,-1.493902439
45874,-2.653369141,-5.359375,-7.969677734,0.945121951,1.737804878,-1.463414634
45875,-2.485888672,-5.359375,-7.972070313,1.219512195,-0.243902439,-1.676829268
45876,-2.552880859,-5.323486328,-7.912255859,1.37195122,0.396341463,-1.158536585
45877,-2.588769531,-5.309130859,-7.900292969,1.128048781,0.335365854,-0.792682927
45878,-2.555273438,-5.347412109,-7.979248047,0.609756098,-0.365853659,-0.975609756
45879,-2.622265625,-5.285205078,-7.909863281,0.609756098,0.487804878,-1.219512195
45880,-2.560058594,-5.313916016,-7.972070313,0.182926829,0.182926829,-1.585365854
45881,-2.536132813,-5.313916016,-8.005566406,0.091463415,0.701219512,-1.829268293
45882,-2.593554688,-5.318701172,-7.964892578,0.518292683,1.402439024,-1.554878049
45883,-2.560058594,-5.347412109,-8.024707031,0.792682927,0.701219512,-1.280487805
45884,-2.562451172,-5.311523438,-7.991210938,1.402439024,1.18902439,-0.945121951
45885,-2.619873047,-5.316308594,-7.969677734,1.737804878,1.554878049,-1.067073171
45886,-2.56484375,-5.304345703,-7.976855469,1.859756098,1.18902439,-1.463414634
45887,-2.574414063,-5.304345703,-7.957714844,1.981707317,1.37195122,-1.524390244
45888,-2.557666016,-5.318701172,-7.974462891,1.951219512,1.036585366,-1.493902439
45889,-2.540917969,-5.349804688,-7.986425781,1.951219512,0.914634146,-1.341463415
45890,-2.562451172,-5.373730469,-7.952929688,2.347560976,1.158536585,-1.18902439
